Unnamed: 0,INCIDENT_ID,DATA_YEAR,PUB_AGENCY_NAME,STATE_ABBR,STATE_NAME,POPULATION_GROUP_DESC,INCIDENT_DATE,TOTAL_OFFENDER_COUNT,OFFENDER_RACE,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,SEVERITY
38129,36759,1996,85,NC,North Carolina,"MSA counties from 25,000 thru 99,999",07-FEB-96,3,5,1,Aggravated Assault,1.0,Parking/Drop Lot/Garage,6,7,1
38130,36760,1996,93,NC,North Carolina,"Cities from 100,000 thru 249,999",06-NOV-96,1,5,1,Arson,0.0,Service/Gas Station,6,0,1
38131,36761,1996,108,NC,North Carolina,"Non-MSA counties from 25,000 thru 99,999",21-SEP-96,0,4,1,Destruction/Damage/Vandalism of Property,0.0,Commercial/Office Building,1,0,0
38132,36762,1996,108,NC,North Carolina,"Non-MSA counties from 25,000 thru 99,999",20-OCT-96,0,4,1,Destruction/Damage/Vandalism of Property,0.0,Commercial/Office Building,1,0,0
38133,36763,1996,108,NC,North Carolina,"Non-MSA counties from 25,000 thru 99,999",04-NOV-96,0,4,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,6,7,0
38134,36764,1996,108,NC,North Carolina,"Non-MSA counties from 25,000 thru 99,999",04-NOV-96,0,4,2,Intimidation,2.0,Residence/Home,6,7,1
38135,36784,1996,232,NC,North Carolina,"Cities under 2,500",24-APR-96,2,2,1,Simple Assault,1.0,School/College,40,7,1
38136,36785,1996,111,NC,North Carolina,"MSA counties from 25,000 thru 99,999",26-JAN-96,0,4,2,Destruction/Damage/Vandalism of Property,2.0,Residence/Home,6,7,0
38137,36786,1996,111,NC,North Carolina,"MSA counties from 25,000 thru 99,999",01-MAY-96,0,4,2,Intimidation,2.0,Residence/Home,35,7,1
38138,36787,1996,111,NC,North Carolina,"MSA counties from 25,000 thru 99,999",27-JUN-96,0,4,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,31,7,0
38139,36788,1996,125,NC,North Carolina,"MSA counties from 25,000 thru 99,999",03-JUL-96,0,4,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,6,7,0
38140,36789,1996,125,NC,North Carolina,"MSA counties from 25,000 thru 99,999",19-JUL-96,1,5,1,Intimidation,1.0,Residence/Home,6,7,1
38141,36790,1996,197,NC,North Carolina,"Cities from 2,500 thru 9,999",19-JAN-96,3,2,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,40,7,0
38142,36791,1996,34,NC,North Carolina,"Cities from 2,500 thru 9,999",24-FEB-96,1,5,1,Arson,1.0,Bar/Nightclub,6,7,1
38143,36792,1996,41,NC,North Carolina,"Cities from 25,000 thru 49,999",31-JUL-96,1,5,1,Intimidation,1.0,Residence/Home,16,7,1
38144,36793,1996,11,NC,North Carolina,"Cities from 2,500 thru 9,999",31-OCT-96,1,2,2,Aggravated Assault;Simple Assault,2.0,Highway/Road/Alley/Street/Sidewalk,40,7,1
38145,36794,1996,66,NC,North Carolina,"Cities under 2,500",25-OCT-96,1,4,1,Intimidation,1.0,Residence/Home,16,7,1
38146,36795,1996,66,NC,North Carolina,"Cities under 2,500",18-FEB-96,0,4,1,Destruction/Damage/Vandalism of Property,1.0,School/College,6,7,0
38147,36796,1996,38,NC,North Carolina,"Cities from 50,000 thru 99,999",08-MAY-96,0,4,1,Destruction/Damage/Vandalism of Property,0.0,School/College,6,5,0
38148,36797,1996,226,NC,North Carolina,"Non-MSA counties from 10,000 thru 24,999",19-MAY-96,0,4,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,6,7,1
38149,36798,1996,234,NC,North Carolina,"Non-MSA counties from 25,000 thru 99,999",01-MAR-96,2,5,1,Robbery,1.0,Highway/Road/Alley/Street/Sidewalk,21,7,1
46479,45209,1997,25,NC,North Carolina,"MSA counties 100,000 or over",22-JUN-97,2,5,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,37,15,0
46480,45210,1997,150,NC,North Carolina,"Cities from 10,000 thru 24,999",15-JUL-97,0,4,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,6,7,0
46481,45211,1997,112,NC,North Carolina,"Cities from 25,000 thru 49,999",19-AUG-97,2,2,1,Simple Assault,1.0,Parking/Drop Lot/Garage,40,7,1
46482,45212,1997,149,NC,North Carolina,"Cities from 2,500 thru 9,999",25-APR-97,1,5,1,Intimidation,1.0,School/College,6,7,1
46483,45213,1997,149,NC,North Carolina,"Cities from 2,500 thru 9,999",28-APR-97,1,5,1,Intimidation,1.0,School/College,6,7,1
46484,45214,1997,149,NC,North Carolina,"Cities from 2,500 thru 9,999",07-JUL-97,1,2,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,27,7,1
46485,45215,1997,149,NC,North Carolina,"Cities from 2,500 thru 9,999",12-DEC-97,1,5,1,Simple Assault,1.0,School/College,6,7,1
46486,45216,1997,46,NC,North Carolina,"Cities under 2,500",22-MAR-97,0,4,1,Destruction/Damage/Vandalism of Property,1.0,Parking/Drop Lot/Garage,6,7,0
46487,45217,1997,2,NC,North Carolina,"Cities from 2,500 thru 9,999",02-FEB-97,3,5,1,Intimidation,1.0,Residence/Home,31,7,1
46488,45218,1997,155,NC,North Carolina,"Cities under 2,500",14-APR-97,1,5,2,Intimidation,2.0,Residence/Home,6,7,1
46489,45219,1997,155,NC,North Carolina,"Cities under 2,500",24-JUN-97,2,5,1,Intimidation,1.0,Other/Unknown,6,7,1
46490,45220,1997,211,NC,North Carolina,"Cities from 10,000 thru 24,999",23-SEP-97,0,4,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,6,7,0
46491,45221,1997,62,NC,North Carolina,"Cities under 2,500",30-APR-97,0,4,1,Intimidation,1.0,School/College,28,7,1
46492,45222,1997,62,NC,North Carolina,"Cities under 2,500",18-SEP-97,0,4,4,Destruction/Damage/Vandalism of Property;Intimidation,3.0,School/College,28,9,1
46493,45223,1997,62,NC,North Carolina,"Cities under 2,500",20-SEP-97,1,5,2,Destruction/Damage/Vandalism of Property,2.0,Residence/Home,28,7,0
46494,45224,1997,62,NC,North Carolina,"Cities under 2,500",09-OCT-97,2,5,2,Intimidation,2.0,School/College,28,7,1
46495,45225,1997,239,NC,North Carolina,"Cities from 100,000 thru 249,999",17-MAR-97,1,5,1,Intimidation,1.0,Other/Unknown,6,7,1
46496,45226,1997,85,NC,North Carolina,"MSA counties from 25,000 thru 99,999",29-JAN-97,1,5,2,Intimidation;Simple Assault,2.0,School/College,6,7,1
46497,45227,1997,85,NC,North Carolina,"MSA counties from 25,000 thru 99,999",08-APR-97,0,4,2,Arson;Intimidation,1.0,Residence/Home,6,7,1
46498,45228,1997,85,NC,North Carolina,"MSA counties from 25,000 thru 99,999",16-APR-97,0,4,1,Burglary/Breaking & Entering,1.0,Residence/Home,6,7,1
46499,45229,1997,85,NC,North Carolina,"MSA counties from 25,000 thru 99,999",07-OCT-97,0,4,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Residence/Home,40,7,1
46500,45230,1997,85,NC,North Carolina,"MSA counties from 25,000 thru 99,999",04-DEC-97,0,4,1,Destruction/Damage/Vandalism of Property,0.0,School/College,6,14,0
46501,45231,1997,53,NC,North Carolina,"Cities under 2,500",12-AUG-97,1,5,2,Simple Assault,2.0,Highway/Road/Alley/Street/Sidewalk,6,7,1
46502,45232,1997,93,NC,North Carolina,"Cities from 100,000 thru 249,999",30-JAN-97,0,4,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Residence/Home,6,9,1
46503,45233,1997,93,NC,North Carolina,"Cities from 100,000 thru 249,999",01-FEB-97,0,4,1,Intimidation,1.0,Parking/Drop Lot/Garage,6,7,1
46504,45234,1997,93,NC,North Carolina,"Cities from 100,000 thru 249,999",04-FEB-97,2,2,2,Simple Assault,2.0,Grocery/Supermarket,40,7,1
46505,45235,1997,93,NC,North Carolina,"Cities from 100,000 thru 249,999",06-FEB-97,0,4,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Residence/Home,6,7,1
46506,45236,1997,93,NC,North Carolina,"Cities from 100,000 thru 249,999",01-JUL-97,1,2,1,Aggravated Assault,1.0,Parking/Drop Lot/Garage,40,7,1
46507,45237,1997,75,NC,North Carolina,"Cities from 2,500 thru 9,999",08-SEP-97,0,4,2,Destruction/Damage/Vandalism of Property,0.0,Highway/Road/Alley/Street/Sidewalk,40,0,0
46508,45238,1997,108,NC,North Carolina,"Non-MSA counties from 25,000 thru 99,999",08-MAY-97,0,4,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,6,7,0
46509,45239,1997,108,NC,North Carolina,"Non-MSA counties from 25,000 thru 99,999",26-OCT-97,3,5,3,Intimidation,3.0,Other/Unknown,6,7,1
46510,45240,1997,232,NC,North Carolina,"Cities under 2,500",09-DEC-97,1,5,2,Intimidation,2.0,School/College,6,7,1
46511,45241,1997,197,NC,North Carolina,"Cities from 10,000 thru 24,999",31-MAY-97,0,4,1,Destruction/Damage/Vandalism of Property,0.0,Restaurant,6,0,0
46512,45249,1997,41,NC,North Carolina,"Cities from 25,000 thru 49,999",05-OCT-97,2,5,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,16,7,1
46513,45250,1997,41,NC,North Carolina,"Cities from 25,000 thru 49,999",06-OCT-97,3,2,5,Burglary/Breaking & Entering;Simple Assault,5.0,Residence/Home,40,7,1
46514,45251,1997,41,NC,North Carolina,"Cities from 25,000 thru 49,999",22-OCT-97,4,2,1,Simple Assault,1.0,School/College,40,7,1
46515,45252,1997,41,NC,North Carolina,"Cities from 25,000 thru 49,999",01-DEC-97,1,5,1,Simple Assault,1.0,School/College,34,7,1
46516,45253,1997,175,NC,North Carolina,"MSA counties from 25,000 thru 99,999",26-JAN-97,0,4,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,6,7,0
46517,45254,1997,66,NC,North Carolina,"Cities under 2,500",09-NOV-97,1,5,1,Intimidation,1.0,Residence/Home,16,7,1
46518,45255,1997,191,NC,North Carolina,"Cities from 25,000 thru 49,999",05-MAY-97,1,5,1,Destruction/Damage/Vandalism of Property,1.0,Parking/Drop Lot/Garage,6,7,0
46519,45256,1997,38,NC,North Carolina,"Cities from 50,000 thru 99,999",07-FEB-97,0,4,1,Destruction/Damage/Vandalism of Property,0.0,School/College,6,14,0
46520,45257,1997,38,NC,North Carolina,"Cities from 50,000 thru 99,999",15-FEB-97,0,4,1,Destruction/Damage/Vandalism of Property,0.0,School/College,6,14,0
54334,53128,1998,149,NC,North Carolina,"Cities from 2,500 thru 9,999",30-JUL-98,1,5,2,Intimidation,2.0,Residence/Home,6,7,1
54335,53129,1998,128,NC,North Carolina,"Cities from 2,500 thru 9,999",07-FEB-98,1,5,1,Simple Assault,1.0,Grocery/Supermarket,6,7,1
54336,53130,1998,155,NC,North Carolina,"Cities under 2,500",30-AUG-98,0,4,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Restaurant,34,3,1
54337,53131,1998,122,NC,North Carolina,"Cities from 10,000 thru 24,999",19-MAY-98,0,4,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Grocery/Supermarket,6,3,1
54338,53132,1998,122,NC,North Carolina,"Cities from 10,000 thru 24,999",18-JUN-98,0,4,2,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,37,15,0
54339,53133,1998,122,NC,North Carolina,"Cities from 10,000 thru 24,999",17-SEP-98,0,4,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Residence/Home,2,9,1
54340,53134,1998,211,NC,North Carolina,"Cities from 10,000 thru 24,999",29-APR-98,0,4,1,Destruction/Damage/Vandalism of Property,0.0,Restaurant,6,14,0
54341,53135,1998,211,NC,North Carolina,"Cities from 10,000 thru 24,999",13-MAY-98,1,5,1,Intimidation,1.0,School/College,6,7,1
54342,53136,1998,62,NC,North Carolina,"Cities under 2,500",23-MAR-98,0,4,1,Destruction/Damage/Vandalism of Property,0.0,School/College,28,16,0
54343,53137,1998,62,NC,North Carolina,"Cities under 2,500",20-MAR-98,0,4,1,Destruction/Damage/Vandalism of Property,0.0,School/College,28,14,0
